$ ./trec_eval -q qrels_covid.txt  graph.txt
iprec_at_recall_0.70    Q21     0.0000
iprec_at_recall_0.80    Q21     0.0000
iprec_at_recall_0.90    Q21     0.0000
iprec_at_recall_1.00    Q21     0.0000
P_5                     Q21     1.0000
P_10                    Q21     1.0000
P_15                    Q21     0.8000
P_20                    Q21     0.7500
P_30                    Q21     0.6333
P_100                   Q21     0.4200
P_200                   Q21     0.3350
P_500                   Q21     0.2380
P_1000                  Q21     0.1760
num_ret                 Q22     1000
num_rel                 Q22     546
num_rel_ret             Q22     174
map                     Q22     0.1168
Rprec                   Q22     0.2399
bpref                   Q22     0.3010
recip_rank              Q22     1.0000
iprec_at_recall_0.00    Q22     1.0000
iprec_at_recall_0.10    Q22     0.3665
iprec_at_recall_0.20    Q22     0.2886
iprec_at_recall_0.30    Q22     0.2027
iprec_at_recall_0.40    Q22     0.0000
iprec_at_recall_0.50    Q22     0.0000
iprec_at_recall_0.60    Q22     0.0000
iprec_at_recall_0.70    Q22     0.0000
iprec_at_recall_0.80    Q22     0.0000
iprec_at_recall_0.90    Q22     0.0000
iprec_at_recall_1.00    Q22     0.0000
P_5                     Q22     0.8000
P_10                    Q22     0.9000
P_15                    Q22     0.7333
P_20                    Q22     0.6500
P_30                    Q22     0.5333
P_100                   Q22     0.4500
P_200                   Q22     0.3600
P_500                   Q22     0.2560
P_1000                  Q22     0.1740
num_ret                 Q23     1000
num_rel                 Q23     371
num_rel_ret             Q23     215
map                     Q23     0.2919
Rprec                   Q23     0.3854
bpref                   Q23     0.4954
recip_rank              Q23     1.0000
iprec_at_recall_0.00    Q23     1.0000
iprec_at_recall_0.10    Q23     0.7903
iprec_at_recall_0.20    Q23     0.5278
iprec_at_recall_0.30    Q23     0.4079
iprec_at_recall_0.40    Q23     0.3710
iprec_at_recall_0.50    Q23     0.2601
iprec_at_recall_0.60    Q23     0.0000
iprec_at_recall_0.70    Q23     0.0000
iprec_at_recall_0.80    Q23     0.0000
iprec_at_recall_0.90    Q23     0.0000
iprec_at_recall_1.00    Q23     0.0000
P_5                     Q23     1.0000
P_10                    Q23     0.9000
P_15                    Q23     0.9333
P_20                    Q23     0.8500
P_30                    Q23     0.7667
P_100                   Q23     0.6700
P_200                   Q23     0.4600
P_500                   Q23     0.3280
P_1000                  Q23     0.2150
num_ret                 Q24     1000
num_rel                 Q24     404
num_rel_ret             Q24     296
map                     Q24     0.4254
Rprec                   Q24     0.4703
bpref                   Q24     0.6711
recip_rank              Q24     1.0000
iprec_at_recall_0.00    Q24     1.0000
iprec_at_recall_0.10    Q24     0.7963
